reino,nombre científico,Nombe Completo,vernacular_name,Estatus_RD
Animalia,Argiope argentata,Argiope argentata,Araa,NO DEFINIDO                   
Animalia,Cyprinus carpio,Cyprinus carpio,"Pez Bigote, o Bocito",NO DEFINIDO                   
Animalia,Clarias batrachus,Clarias batrachus,"Pez Gato, Pez Diablo",NO DEFINIDO                   
Animalia,Hypostomus plecostomus,Hypostomus plecostomus,Pez Diablo o Pleco o Limpia Fondo,INVASORA                      
Animalia,Leptodactylus albilabris,Leptodactylus albilabris,Rana de la zanja de Puerto Rico,INTRODUCIDA (I)               
Animalia,Caretta caretta,Caretta caretta,Caguamo,MIGRATORIA (M)                
Animalia,Chelonia mydas,Chelonia mydas,Tortuga verde,MIGRATORIA (M)                
Animalia,Eretmochelys imbricata,Eretmochelys imbricata,Carey,MIGRATORIA (M)                
Animalia,Dermochelys coriacea,Dermochelys coriacea,Tinglar,MIGRATORIA (M)                
Animalia,Anolis cristatellus,Anolis cristatellus,Anolis crestado de Puerto Rico,INTRODUCIDA (I)               
Animalia,Anolis cybotes,Anolis cybotes,Anolis robusto de la Hispaniola,ENDEMICA (E)                  
Animalia,Anolis distichus,Anolis distichus,Anolis gracil de la Hispaniola,NATIVA (N)                    
Animalia,Anolis longiceps,Anolis longiceps,Anolis de Navassa,ENDEMICA (E)                  
Animalia,Anolis porcatus,Anolis porcatus,Anolis verde Cubano,INTRODUCIDA (I)               
Animalia,Cyclura cornuta,Cyclura cornuta,Iguana rinoceronte,ENDEMICA (E)                  
Animalia,Leiocephalus eremitus,Leiocephalus eremitus,Leiocefalo de Navassa,ENDEMICA (E)                  
Animalia,Leiocephalus schreibersii,Leiocephalus schreibersii,Leiocefalo khaki de la Hispaniola,ENDEMICA (E)                  
Animalia,Gonatodes albogularis,Gonatodes albogularis,Gecko con garras Neotropical,INTRODUCIDA (I)               
Animalia,Hemidactylus frenatus,Hemidactylus frenatus,Gecko comn casero,INTRODUCIDA (I)               
Animalia,Hemidactylus mabouia,Hemidactylus mabouia,Gecko casero Tropical,INTRODUCIDA (I)               
Animalia,Sphaerodactylus becki,Sphaerodactylus becki,Esferodactilo de Navassa,ENDEMICA (E)                  
Animalia,Sphaerodactylus elegans,Sphaerodactylus elegans,Esferodactilo cenizo,ENDEMICA (E)                  
Animalia,Crocodylus acutus,Crocodylus acutus,Cocodrilo americano,NATIVA (N)                    
Animalia,Podilymbus podiceps,Podilymbus podiceps,Zaramagulln,RESIDENTE PERMANENTE (RP)     
Animalia,Tachybaptus dominicus,Tachybaptus dominicus,Tigua,RESIDENTE PERMANENTE (RP)     
Animalia,Puffinus gravis,Puffinus gravis,Pardela capirotada,PASAJERA(P)                   
Animalia,Puffinus puffinus,Puffinus puffinus,Pardela pichoneta,PASAJERA(P)                   
Animalia,Puffinus lherminieri,Puffinus lherminieri,Diablotin,PASAJERA(P)                   
Animalia,Pterodroma hasitata,Pterodroma hasitata,Diablotin ,MIGRATORIO NIDIFICANTE (MN)   
