reino,nombre científico,Nombe Completo,vernacular_name,Estatus_RD,Localizado_RD
Plantae,Clusia minor,Clusia minor,,NATIVA (N)                    ,S
Plantae,Annona squamosa,Annona squamosa,Ann,NATIVA (N)                    ,S
Plantae,Persea krugii,Persea krugii,,NATIVA (N)                    ,S
Plantae,Ocotea leucoxylon,Ocotea leucoxylon,Cigua prieta,NATIVA (N)                    ,S
Plantae,Ocotea foeniculacea,Ocotea foeniculacea,,NATIVA (N)                    ,S
Plantae,Beilschmiedia pendula,Beilschmiedia pendula,,NATIVA (N)                    ,S
Plantae,Peperomia obtusifolia,Peperomia obtusifolia,,NATIVA (N)                    ,S
Plantae,Peperomia distachya,Peperomia distachya,,NATIVA (N)                    ,S
Plantae,Peperomia serpens,Peperomia serpens,,NATIVA (N)                    ,S
Plantae,Piper aducum,Piper aducum,,NO DEFINIDO                   ,S
Plantae,Piper hispidum,Piper hispidum,,NATIVA (N)                    ,S
Plantae,Piper amalago,Piper amalago,,NATIVA (N)                    ,S
Plantae,Piper marginatum,Piper marginatum,,NO DEFINIDO                   ,S
Plantae,Pothomorphe peltata,Pothomorphe peltata,,NATIVA (N)                    ,S
Plantae,Aristolochia bilabiata,Aristolochia bilabiata,Bejuco de jengibre,NATIVA (N)                    ,S
Plantae,Aristolochia bilobata,Aristolochia bilobata,Bejuco calzn,NATIVA (N)                    ,S
Plantae,Ranunculus recurvatus,Ranunculus recurvatus,,NATIVA (N)                    ,S
Plantae,Cissampelos pareira,Cissampelos pareira,,NATIVA (N)                    ,S
Plantae,Argemone mexicana,Argemone mexicana,Cardo santo,NATIVA (N)                    ,S
Plantae,Bocconia frutescens,Bocconia frutescens,,NATIVA (N)                    ,S
Plantae,Celtis iguanaea,Celtis iguanaea,Arua gato,NATIVA (N)                    ,S
Plantae,Celtis trinervia,Celtis trinervia,Anisillo,NATIVA (N)                    ,S
Plantae,Ficus citrifolia,Ficus citrifolia,,NATIVA (N)                    ,S
Plantae,Maclura tinctoria,Maclura tinctoria,Mora,NATIVA (N)                    ,S
Plantae,Trophis racemosa,Trophis racemosa,,NATIVA (N)                    ,S
Plantae,Boehmeria cylindrica,Boehmeria cylindrica,,NATIVA (N)                    ,S
Plantae,Rivina humilis,Rivina humilis,,NATIVA (N)                    ,S
Plantae,Allionia incarnata,Allionia incarnata,,NATIVA (N)                    ,S
Plantae,Guapira discolor,Guapira discolor,,NATIVA (N)                    ,S
Plantae,Pisonia aculeata,Pisonia aculeata,Ua de gato,NATIVA (N)                    ,S
Plantae,Commicarpus scandens,Commicarpus scandens,,NATIVA (N)                    ,S
Plantae,Mirabilis jalapa,Mirabilis jalapa,Buenas tardes,NATIVA (N)                    ,S
Plantae,Rhipsalis baccifera,Rhipsalis baccifera,,NATIVA (N)                    ,S
Plantae,Mammillaria prolifera,Mammillaria prolifera,Bombillita,ENDEMICA (E)                  ,S
Plantae,Lemaireocereus hystrix,Lemaireocereus hystrix,,NATIVA (N)                    ,S
Plantae,Portulaca halimoides,Portulaca halimoides,,NATIVA (N)                    ,S
Plantae,Chenopodium murale,Chenopodium murale,,NATIVA (N)                    ,S
Plantae,Amaranthus crassipes,Amaranthus crassipes,Bledo,NATIVA (N)                    ,S
Plantae,Chamissoa altissima,Chamissoa altissima,Pabelln del rey,NATIVA (N)                    ,S
Plantae,Iresine diffusa,Iresine diffusa,,NATIVA (N)                    ,S
Plantae,Iresine angustifolia,Iresine angustifolia,,NATIVA (N)                    ,S
Plantae,Iresine herbstii,Iresine herbstii,Molleja,NATIVA (N)                    ,S
Plantae,Polygonum punctatum,Polygonum punctatum,,NO DEFINIDO                   ,S
Plantae,Coccoloba costata,Coccoloba costata,,NATIVA (N)                    ,S
Plantae,Coccoloba pubescens,Coccoloba pubescens,,NATIVA (N)                    ,S
Plantae,Laplacea portoricensis,Laplacea portoricensis,,ENDEMICA (E)                  ,S
Plantae,Clusia rosea,Clusia rosea,Copey,NATIVA (N)                    ,S
Plantae,Mammea americana,Mammea americana,,NATIVA (N)                    ,S
Plantae,Muntingia calabura,Muntingia calabura,,NATIVA (N)                    ,S
Plantae,Corchorus hirsutus,Corchorus hirsutus,Escobita dulce,NATIVA (N)                    ,S
Plantae,Triumfetta semitriloba,Triumfetta semitriloba,,NO DEFINIDO                   ,S
Plantae,Waltheria indica,Waltheria indica,,NATIVA (N)                    ,S
Plantae,Ceiba pentandra,Ceiba pentandra,Ceiba,NO DEFINIDO                   ,S
Plantae,Ochroma lagopus,Ochroma lagopus,,NO DEFINIDO                   ,S
Plantae,Hibiscus brasiliensis,Hibiscus brasiliensis,,NATIVA (N)                    ,S
Plantae,Hibiscus clypeatus,Hibiscus clypeatus,,NATIVA (N)                    ,S
Plantae,Abutilon abutiloides,Abutilon abutiloides,,NATIVA (N)                    ,S
Plantae,Pavonia spinifex,Pavonia spinifex,,NATIVA (N)                    ,S
Plantae,Sida rhombifolia,Sida rhombifolia,,NATIVA (N)                    ,S
Plantae,Turnera diffusa,Turnera diffusa,,NATIVA (N)                    ,S
Plantae,Passiflora multiflora,Passiflora multiflora,,NATIVA (N)                    ,S
Plantae,Passiflora suberosa,Passiflora suberosa,Morita,NATIVA (N)                    ,S
Plantae,Passiflora murucuja,Passiflora murucuja,Grenadille,NATIVA (N)                    ,S
Plantae,Passiflora rubra,Passiflora rubra,,NATIVA (N)                    ,S
Plantae,Carica papaya,Carica papaya,Lechosa,NO DEFINIDO                   ,S
Plantae,Cayaponia americana,Cayaponia americana,,NATIVA (N)                    ,S
Plantae,Luffa cylindrica,Luffa cylindrica,,NO DEFINIDO                   ,S
Plantae,Capparis cynophallophora,Capparis cynophallophora,,NATIVA (N)                    ,S
Plantae,Capparis flexuosa,Capparis flexuosa,,NATIVA (N)                    ,S
Plantae,Cleome aculeata,Cleome aculeata,Tabaquillo,NO DEFINIDO                   ,S
Plantae,Cleome viscosa,Cleome viscosa,Tabaquillo,INTRODUCIDA (I)               ,S
Plantae,Morisonia americana,Morisonia americana,,NATIVA (N)                    ,S
Plantae,Capsella bursa-pastoris,Capsella bursa-pastoris,,NATIVA (N)                    ,S
Plantae,Lepidium virginicum,Lepidium virginicum,Mastuerzo,NATIVA (N)                    ,S
Plantae,Manilkara albescens,Manilkara albescens,,NATIVA (N)                    ,S
Plantae,Pouteria dictyoneura,Pouteria dictyoneura,,ENDEMICA (E)                  ,S
Plantae,Anagallis arvensis,Anagallis arvensis,,NATIVA (N)                    ,S
Plantae,Fragaria vesca,Fragaria vesca,,NATIVA (N)                    ,S
Plantae,Malus pumila,Malus pumila,,INTRODUCIDA (I)               ,S
Plantae,Centrosema virginianum,Centrosema virginianum,Consuelo de los caminantes,NATIVA (N)                    ,S
Plantae,Acacia macracantha,Acacia macracantha,,NATIVA (N)                    ,S
Plantae,Bauhinia divaricata,Bauhinia divaricata,,ENDEMICA (E)                  ,S
