Nombre,Descripcion
Parque Nacional Armando Bermúdez ,"posee los lugares más hermosos en sus extensas sabanas, aprisionadas por las montañas más prominentes del Caribe, es un  lugar donde el único sonido es el trinar de las aves, el silbido del viento entre los pinares y la caída del agua sus cascadas. Pose una extension territorial de 766 km2, que se extienden de este a oeste, desde la Ciénaga de Manabao, en la provincia la Vega, hasta e Parque Nacional Nalga de Maco , en la parte alta de la cuenca Altibonito."
Parque Nacional Valle Nuevo,"El objetivo de esta área es proteger la integridad ecológica de uno o más ecosistemas de gran relevancia ecológica o belleza escénica, con cobertura boscosa o sin ella, o con vida submarina, para provecho de las presentes y futuras generaciones, evitar explotaciones y ocupaciones intensivas que alteren sus ecosistemas, proveer la base para crear las oportunidades de esparcimiento espiritual, de actividades científicas, educativas, recreacionales y ecoturísticas. En el  camino principal que atraviesa el parque permite  recorrer la  parte de la Cordillera Central, donde se puede disfrutar del paisaje de montaña y sus bosques con una temperatura fresca todo el año, apartados del bullicio y el trajín de las ciudades. "
Parque Nacional Lago Enriquillo,"La Hoya del Lago Enriquillo constituye una fase tectónica joven con unos 100 kms. de extensión y un promedio de anchura de 20 kms. Este Lago es el más grande de las Antillas y su nombre se debe al Cacique Indigena Enrriquillo. En el interior del Lago existen dos pequeñas islas, a parte de la Cabritos, (La islita y la Barbarita), siendo la de mayor tamaño Isla Cabritos, con una extensión de 24km2, que se distribuyen de la siguiente manera: 12kms de longitud por 2 a 2.5 kms. de ancho.  El Lago y Las Islas (La Barbarita, la islita y la Cabritos) tienen diferentes provincias y comunidades que la circundan, y por vía de consecuencia sus moradores inciden de una u otra forma en estos ecosistemas, en la parte norte del lago se encuentran: Villa Jaragua, Las Clavellinas, Los Ríos, postrer río, La Descubierta, Bartolomé y Boca de Cachón, hacia la parte Oeste la provincia de Jimaní y en la parte Sur: Duvergé, Vengan a Ver, Baitoa, etc. en la parte este se encuentra la Provincia Independencia."
Parque Nacional Los Haitises,"Los Haitises constituyen una región de extraordinario valor ambiental y recreativo, de característica geológica singular, en donde su fauna y flora están representadas por numerosas especies, entre las cuales hay endémicas. El paisaje que imprimen los mogotes y cayos, unidos a la parte litoral, constituyen paisajes de extraordinaria belleza escénica, son sólo partes, de los atractivos de esta área protegida. Los recursos históricos y culturales de la raza taina, representados en numerosas cavernas, y sus extensos paisajes costeros en donde priman los manglares, son otros de los atractivos de este Parque Nacional, de singular importancia para la República Dominicana. El bosque húmedo, a los cuales se llega por numerosas ensenadas, entre cayos, mogotes y esculpidas riberas de manglares, son otros de los espectáculos de la biodiversidad y belleza que adornan a los Haitises. Haitises significa tierra alta o de montaña, y corresponde a una región constituida por un conjunto de mogotes o colinas con alturas que oscilan de 40 a 380mts., las cuales se encuentran cargadas de vegetación en su parte superior, siendo hueca en su parte interior por el fenómeno de desgaste del relieve en la roca caliza que al combinarse factores físico-químicos hacen fisuras que se agrandan con el tiempo, por lo que es común encontrar numerosas cavernas en todo el ámbito de la región."
Monumento Natural Dunas de las Calderas,"El área protegida comprende el sistema de dunas más grande y relevante del Caribe insular. Además de ofrecer una gran belleza escénica, las dunas evitan la sedimentación de la bahía, protegen a las comunidades del entorno de vientos huracanados y albergan especies singulares adaptadas a estos ambientes secos y salinos. El recorrido de las dunas es impresionante y se encuentran frente a una playa de grandes proporciones bañada por las aguas del mar Caribe. En las Dunas existe un centro de protección y sendero ecológico con el nombre de Santanilla, el cual ofrece la oportunidad de ponerse en contacto con este singular ecosistema y sus recursos asociados"
Reserva Científica Loma Quita Espuela ,"La Reserva Científica Loma Quita Espuela está ubicada en el vértice Este de la Cordillera Septentrional y comprende las áreas de la Loma Quita Espuela, -al centro y con la mayor altura de 985 msnm, Loma La Canela – con 560 msnm-, Loma Vieja –con 730 msnm-, Loma el Quemao –con 565 msnm-, y Firme Los Sabrosos –con 510 msnm-. "
Parque Nacional Jaragua ,"Los límites del Parque por el Norte corresponden a la carretera Juancho-Cabo Rojo y al Este, Oeste y Sur consiste en la línea imaginaria situada sobre el mal territorial, aproximadamente a 5 kms. de la costa Este y Oeste del procurrente y a 3 kms. del litoral sur de la Isla Beata. Las comunidades aledañas al parque son: Juancho, Oviedo, Tres Charcos y Pedernales; esta última un poco más retirada. "
"Reserva Cientifica Santuarios de Mamiferos Marinos de Hestero Hondo 
", El caño de Estero Hondo es una superficie lagunar de gran belleza escénica alimentada por varios ríos y separada del mar por una franja arenosa. El mayor atractivo del santuario son los manatíes que habitan en sus aguas y que constituye la mayor población reportada de esta especie de mamíferos marinos en la Republica Dominicana.
Monumento Natural Saltos de Damajagua ,"Estos saltos, que son 27 en total, son unas impresionantes caídas de agua parte de una falla geológica que forman un cañón de varios kilómetros de largo, con interesantes laberintos de túneles, cuevas, toboganes y  piscinas naturales, enmarcadas en  una tupida vegetación de bosque húmedo tropical. Formaciones geológicas impresionantes donde las aguas del río Damajagua, que corren por su cañón, forman las 27 caídas de distintas elevaciones a lo largo de unos siete kilómetros  entre las montañas y sobre el descenso del río Bajabonico, que fluye desde la cordillera Septentrional. "
Monumento Natural Cueva Los Tres Ojos ,"El área protegida es una zona ajardinada donde se localiza una gran Dolina que contiene varias cavernas. En el fondo de las cuevas se localizan algunos lagos. Cada lago tiene un nombre comenzando por el de “Aguas Azufradas” con más de 20 metros de profundidad, seguido el famoso lago conocido como “La Nevera”, un poco más adelante se encuentra el lago de “Las Damas” de donde se atraviesa por un bote hasta el lago final llamado “Los Zaramagullones”. La zona de la Dolina y las cavernas presenta una espectacular vegetación tropical."
"Monumento Natural, Reserva Antropológica Cuevas del Pomier ","Esta reserva antropológica constituye una formación geológica única en el país y de las cuales existen pocas en el mundo. En su interior conserva más de 4,000 pictografías y petroglifos y es considerado uno de los más importantes patrimonios antropológicos de la humanidad.  "
Monumento Natural Loma Isabel de Torres ,"Preservar y proteger elementos naturales específicos de importancia por sus componentes bióticos, estéticos y culturales, por su función como hábitat para la reproducción de especies, y por el potencial de los beneficios económicos que puedan derivarse de las actividades turísticas en estas áreas."
"Santuario de Mamíferos Marinos Bahía de Samaná, Banco de La Plata y Banco de La Navidad","El Santuario Marino de la República Dominicana se extiende desde el limítrofe oeste de Banco de la Plata, por Banco de la Navidad hasta la Bahía de Samaná entre Punta Balandra y Miches.  Hoy en día las visitas se realizan principalmente durante la temporada de observación de ballenas jorobadas, desde el 15 de enero hasta finales de marzo, siendo febrero el mes visitado."
Parque Nacional José del Carmen Ramírez  ,"En esta área se encuentran las montañas más altas de Las Antillas: Pico Duarte, La Pelona y La Rusilla, que engalanan con sus nubes blancas y casi permanentes, el impresionante Valle del Tetero; así como la ruta-sendero, Alto de la Rosa-Macutico-Pico Duarte, con múltiples cañadas, cascadas, arroyos y miradores inigualables. La zona posee un relieve montañoso, por causa de la disección fluvial que hace aflorar la roca madre en algunos sitios; la morfodinámica actual en algunas laderas que arrastra material de suelo y de esta forma también tiene el efecto de hacer aflorar materiales parentales que están menos meteorizados, y la sedimentación de materiales ricos en rocas y sustancias orgánicas en determinadas areas con suelos que son constantemente rejuvenecidos, y por consiguiente mas ricos en nutrientes que los suelos profundamente meteorizados predominantes en los trópicos húmedos.   "
Parque Nacional Sierra de Bahoruco ,"Abarca una superficie de unos 1000 km aproximadamente, comprende el sistema montañoso  de la Sierra de Bahoruco, que es la parte dominicana correspondiente al Macizo La Selle en Haití. Esta Sierra constituye el extremo oriental de una cordillera sumergida que parte de America Central, pasa por Jamaica, cruza el Canal del Viento y emerge en Haití formando el sistema montañoso que componen la Península de Tiburón, Massif de La Hotte, el Massif de La Selle, y termina en República Dominicana con la Sierra de Bahoruco. "
Parque Nacional del Este ,"Es uno de los pocos reductos de bosque tropicales, conservados en forma compacta en la región este del país, en donde existen diversos tipos de ambientes, ecosistemas y habitas que a su vez, propician una gran diversidad biológica. Sus recursos naturales, representan un gran abanico, en donde se conjugan, exuberantes masas de bosques, áreas costeras, playas, manglares, ensenadas y recursos históricos y culturales representados por numerosas cavernas que resguardan vestigios de la cultura de los habitantes de la isla antes de la llegada de los españoles, así como plazas ceremoniales, y el singular manantial de la aleta, gran hueco de importante profundidad, en el cual existen numerosas piezas arqueológicas elaboradas por los aborígenes. La fauna asociada al bosque también resulta interesante. El territorio del Parque fue visitado por Cristóbal Colón, quien reconoció sus costas, descubrió la isla Saona y se refugió en sus aguas para evadir una tempestad, durante su segundo viaje."
Parque Nacional Submarino la Caleta  ,"El parque nacional engloba una zona de arrecifes de coral en el área de Cabo Caucedo, con tres barreras arrecífales a profundidades de entre 10 y 50 metros. El área protegida cuenta con un pecio moderno, el barco Hickory que en la actualidad se encuentra lleno de vida marina y proporciona buceos del mayor interés, también se puede bucear en otros dos barcos hundido y restos sumergidos de barcos coloniales. En la parte terrestre abierto al público se encuentre el museo la Caleta con restos de antiguas sepultura taina, zona ajardinada con área de picnic, bancos y una pequeña playa."
Monumento Natural Salto El Limón ,"Salto El Limón posee un perfil montañoso y un relieve accidentado y variado, conformado por una franja de colinas relativamente bajas. Las secciones de Juana Victoria y El Limón se destacan por agrupaciones de lomas y colinas bajas que se entremezclan con algunos valles. Esta zona presenta relieves que varían entre los 60 hasta casi 300 metros de altura. Entre los tres cerros principales que componen la Sierra de Samaná se encuentra el área del Salto del Limón. La cascada está situada a unos 150 metros sobre el nivel del mar y las aguas se deslizan por un acantilado de casi 40 metros de altura."
Monumento Natural Pico Diego de Ocampo ,"El Pico Diego de Ocampo es la mayor elevación de la cordillera septentrional, con una altura máxima de 1249 msnm. Su emersión se remonta al periodo Eoceno, del cretáceo, hace unos 50 millones de años. Su nombre hace honor  a un negro cimarrón, uno de los principales representantes del movimiento antiesclavista de la zona. El Pico Diego de Ocampo es impactado por los vientos alisios y las corrientes de aire húmedas provenientes del océano Atlántico, captando humedad por las precipitaciones y la lluvia horizontal, siendo la cuenca critica de varios ríos y arroyos como Quinigua, Bajabonico, Aloncico, Arrenquillo, Ojo de Agua, El Ranchito, Los Mameyes y decenas de manantiales que brotan en el área."
Morro de Montecristi,"El Morro, con sus 239 metros de altura, es una de las unidades paisajísticas más conocidas y más representativas del país, cuenta con diversos atractivos ecoturísticos, cabe mencionar la exuberante vegetación de los caños entre manglares, arrecifes coralinos, playas, los cayos Siete Hermanos y El Morro. Este último es el más notorio y prominente accidente geográfico de toda la costa noroeste, por lo que se proyecta en forma imponente, de ahí que cuando Cristóbal Colón se disponía a volver a España, después de construir el Fuerte de la Navidad, al pasar a su lado quedó tan impresionado que lo bautizó como Monte de Cristo o Monte Cristi de donde la común cabecera y por extensión, la provincia, tomó el nombre."
Parque Nacional Aniana Vargas,"El Parque Nacional Aniana Vargas es un área protegida que ha sido creada para  proteger y conservar una de las zonas con más alta concentración de sitios con arte rupestre reportados en el Caribe. El área presenta una interesante biodiversidad que se desarrolla dentro del ecosistema de bosque tropical húmedo. Sus montes están jalonados por innumerables cavernas en  zonas de bosques primarios, aun conservados en perfecto estado. El área protegida engloba la presa de Hatillo y las zonas montañosas que se elevan en su periferia. "
Parque Nacional Humedades del Ozama,"En el área protegida encontramos un bosque húmedo tropical con algunos ejemplares de árboles de espectacular tamaño. Existen también varias lagunas y arroyos. La visita a la zona fluvial de esta área protegida se realiza fundamentalmente siguiendo el curso del río en pequeñas embarcaciones. También se puede acceder por las carreteras y caminos que colindan con el espacio protegido. Los Humedales del Ozama son el segundo sistema de humedales más grande del país, después del Bajo Yuna."
